"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","AÑO","MES","DIA","HORA","MINUTO"
"264","2","32","17","61,65","0","5882","2018","5","9","12","22"
"265","5","31","47","66,3","0","5876","2018","5","9","12","23"
"266","2","31","17","61,65","1","5900","2018","5","9","12","23"
"267","5","31","48","65,82","0","5870","2018","5","9","12","24"
"268","2","31","17","61,49","1","5912","2018","5","9","12","24"
"269","5","31","49","65,5","0","5870","2018","5","9","12","25"
"270","2","32","17","61,49","1","5900","2018","5","9","12","25"
"271","5","31","49","65,82","0","5870","2018","5","9","12","26"
"272","2","32","17","61,49","1","5929","2018","5","9","12","26"
"273","5","32","50","65,66","0","5870","2018","5","9","12","27"
"274","2","32","17","61,49","0","5935","2018","5","9","12","27"
"275","5","32","49","65,66","0","5870","2018","5","9","12","28"
"276","2","33","16","61,65","1","5923","2018","5","9","12","28"
"277","5","32","48","65,98","0","5876","2018","5","9","12","29"
"278","2","33","16","61,65","1","5906","2018","5","9","12","29"
"279","5","32","48","65,98","0","5870","2018","5","9","12","30"
"280","2","33","16","61,65","0","5912","2018","5","9","12","30"
"281","5","32","48","66,46","0","5870","2018","5","9","12","31"
"282","2","32","17","61,65","1","5917","2018","5","9","12","31"
"283","5","32","47","65,98","0","5859","2018","5","9","12","32"
"284","2","32","17","61,49","1","5917","2018","5","9","12","32"
"285","5","32","46","66,3","0","5865","2018","5","9","12","33"
"286","2","32","17","61,49","1","5935","2018","5","9","12","33"
"287","5","32","46","66,14","0","5870","2018","5","9","12","34"
"288","2","32","17","61,49","1","5923","2018","5","9","12","34"
"289","5","32","46","66,46","0","5870","2018","5","9","12","35"
"290","2","32","17","61,49","0","5923","2018","5","9","12","35"
"291","5","32","46","66,62","0","5870","2018","5","9","12","36"
"292","2","32","17","61,49","1","5900","2018","5","9","12","36"
"293","5","32","46","66,46","0","5870","2018","5","9","12","37"
"294","2","32","17","61,49","1","5900","2018","5","9","12","37"
"295","5","32","46","66,46","0","5870","2018","5","9","12","38"
"296","2","32","17","61,49","0","5900","2018","5","9","12","38"
"297","5","32","45","66,3","0","5870","2018","5","9","12","39"
"298","2","32","17","61,49","1","5894","2018","5","9","12","39"
"299","5","32","46","66,62","0","5865","2018","5","9","12","40"
"300","2","32","17","61,49","0","5876","2018","5","9","12","40"
"301","5","32","46","66,46","0","5853","2018","5","9","12","41"
"302","2","32","17","61,49","0","5888","2018","5","9","12","41"
"303","5","32","45","66,3","0","5859","2018","5","9","12","42"
"304","2","31","17","61,49","0","5882","2018","5","9","12","42"
"305","5","32","44","66,46","0","5870","2018","5","9","12","43"
"306","2","32","17","61,49","0","5894","2018","5","9","12","43"
"307","5","32","44","66,3","0","5853","2018","5","9","12","44"
"308","2","31","17","61,49","0","5882","2018","5","9","12","44"
"309","5","32","44","66,78","0","5870","2018","5","9","12","45"
"310","2","31","17","61,65","1","5894","2018","5","9","12","45"
"311","5","32","44","66,62","0","5859","2018","5","9","12","46"
"312","2","31","17","61,65","1","5888","2018","5","9","12","46"
"313","5","32","44","66,46","0","5870","2018","5","9","12","47"
"314","2","32","17","61,49","1","5894","2018","5","9","12","47"
"315","5","32","44","66,3","0","5870","2018","5","9","12","48"
"316","2","32","17","61,65","1","5894","2018","5","9","12","48"
"317","5","32","44","66,62","0","5870","2018","5","9","12","49"
"318","2","32","17","61,65","1","5894","2018","5","9","12","49"
"319","5","32","44","66,62","0","5870","2018","5","9","12","50"
"320","2","32","17","61,65","1","5894","2018","5","9","12","50"
"321","5","32","44","66,62","0","5870","2018","5","9","12","51"
"322","2","32","17","61,65","0","5894","2018","5","9","12","51"
"323","5","32","44","66,62","0","5870","2018","5","9","12","52"
"324","2","32","17","61,65","1","5900","2018","5","9","12","52"
"325","5","32","44","66,78","0","5870","2018","5","9","12","53"
"326","2","32","17","61,65","1","5894","2018","5","9","12","53"
"327","5","32","44","67,1","0","5847","2018","5","9","12","54"
"328","2","32","17","61,81","1","5876","2018","5","9","12","54"
"329","5","32","44","66,62","0","5841","2018","5","9","12","55"
"330","2","32","17","61,81","0","5876","2018","5","9","12","55"
"331","5","32","44","66,62","0","5870","2018","5","9","12","56"
"332","2","32","17","61,65","1","5900","2018","5","9","12","56"
"333","5","32","44","66,46","0","5876","2018","5","9","12","57"
"334","2","32","17","61,65","0","5900","2018","5","9","12","57"
"335","5","32","44","66,62","0","5870","2018","5","9","12","58"
"336","2","32","17","61,65","1","5900","2018","5","9","12","58"
"337","5","32","44","66,62","0","5835","2018","5","9","12","59"
"338","2","33","16","61,65","1","5870","2018","5","9","12","59"
"339","5","32","44","66,78","0","5829","2018","5","9","13","0"
"340","2","33","16","61,81","0","5870","2018","5","9","13","0"
"341","5","32","44","66,62","0","5841","2018","5","9","13","1"
"342","2","32","17","61,81","0","5876","2018","5","9","13","1"
"343","5","31","44","66,62","0","5835","2018","5","9","13","2"
"344","2","32","17","61,81","1","5876","2018","5","9","13","2"
"345","5","31","44","66,46","0","5812","2018","5","9","13","3"
"346","2","32","17","61,81","0","5865","2018","5","9","13","3"
"347","5","31","44","66,78","0","5806","2018","5","9","13","4"
"348","2","31","17","61,81","0","5865","2018","5","9","13","4"
"349","5","30","45","66,62","0","5806","2018","5","9","13","5"
"350","2","30","18","61,81","0","5865","2018","5","9","13","5"
"351","5","30","45","66,94","0","5818","2018","5","9","13","6"
"352","2","30","18","61,81","0","5870","2018","5","9","13","6"
"353","5","30","45","66,78","0","5829","2018","5","9","13","7"
"354","2","31","17","61,65","1","5876","2018","5","9","13","7"
"355","5","30","45","67,1","0","5870","2018","5","9","13","8"
"356","2","32","17","61,65","1","5900","2018","5","9","13","8"
"357","5","30","45","66,94","0","5865","2018","5","9","13","9"
"358","2","33","16","61,65","1","5900","2018","5","9","13","9"
"359","5","31","44","66,78","0","5870","2018","5","9","13","10"
"360","2","34","16","61,65","1","5900","2018","5","9","13","10"
"361","5","31","44","67,1","1","5829","2018","5","9","13","11"
"362","2","34","16","61,65","1","5876","2018","5","9","13","11"
"363","5","31","44","67,42","0","5829","2018","5","9","13","12"
"364","2","34","16","61,65","1","5876","2018","5","9","13","12"
"365","5","31","44","67,1","0","5800","2018","5","9","13","13"
"366","2","33","16","61,49","1","5859","2018","5","9","13","13"
"367","5","31","44","67,1","0","5794","2018","5","9","13","14"
"368","2","32","17","61,65","0","5853","2018","5","9","13","14"
"369","5","30","45","67,26","0","5794","2018","5","9","13","15"
"370","2","30","18","61,65","0","5859","2018","5","9","13","15"
"371","5","30","45","67,1","0","5818","2018","5","9","13","16"
"372","2","30","18","61,49","0","5882","2018","5","9","13","16"
"373","5","30","45","67,1","0","5794","2018","5","9","13","17"
"374","2","30","18","61,49","0","5859","2018","5","9","13","17"
"375","5","30","45","66,94","0","5800","2018","5","9","13","18"
"376","2","30","18","61,49","0","5859","2018","5","9","13","18"
"377","5","30","45","67,42","0","5806","2018","5","9","13","19"
"378","2","30","18","61,49","0","5870","2018","5","9","13","19"
"379","5","30","46","67,1","0","5847","2018","5","9","13","20"
"380","2","30","18","61,49","0","5900","2018","5","9","13","20"
"381","5","30","46","67,1","0","5853","2018","5","9","13","21"
"382","2","32","17","61,33","0","5906","2018","5","9","13","21"
"383","5","30","46","67,42","0","5859","2018","5","9","13","22"
"384","2","32","17","61,33","1","5906","2018","5","9","13","22"
"385","5","30","46","67,42","0","5829","2018","5","9","13","23"
"386","2","32","17","61,33","1","5888","2018","5","9","13","23"
"387","5","30","45","67,26","0","5835","2018","5","9","13","24"
"388","2","32","17","61,33","1","5900","2018","5","9","13","24"
"389","5","30","45","67,58","0","5853","2018","5","9","13","25"
"390","2","33","16","61,33","0","5894","2018","5","9","13","25"
"391","5","31","45","67,58","0","5818","2018","5","9","13","26"
"392","2","33","16","61,33","1","5870","2018","5","9","13","26"
"393","5","31","45","67,58","0","5812","2018","5","9","13","27"
"394","2","32","17","61,33","0","5865","2018","5","9","13","27"
"395","5","30","46","67,42","0","5800","2018","5","9","13","28"
"396","2","31","17","61,49","0","5853","2018","5","9","13","28"
"397","5","30","46","67,58","0","5794","2018","5","9","13","29"
"398","2","31","17","63,09","0","5847","2018","5","9","13","29"
"399","5","30","46","67,1","0","5794","2018","5","9","13","30"
"400","2","30","18","61,65","0","5847","2018","5","9","13","30"
"401","5","30","47","67,1","0","5788","2018","5","9","13","31"
"402","2","30","18","61,49","0","5847","2018","5","9","13","31"
"403","5","30","47","67,42","0","5794","2018","5","9","13","32"
"404","2","30","18","61,49","0","5847","2018","5","9","13","32"
"405","5","30","47","67,58","0","5788","2018","5","9","13","33"
"406","2","30","18","61,33","0","5847","2018","5","9","13","33"
"407","5","30","47","67,42","0","5788","2018","5","9","13","34"
"408","2","30","18","61,33","0","5847","2018","5","9","13","34"
"409","5","29","47","67,58","0","5788","2018","5","9","13","35"
"410","2","29","18","61,33","0","5847","2018","5","9","13","35"
"411","5","29","47","67,42","0","5788","2018","5","9","13","36"
"412","2","29","18","61,49","0","5847","2018","5","9","13","36"
"413","5","29","47","67,75","0","5788","2018","5","9","13","37"
"414","2","29","18","61,33","0","5847","2018","5","9","13","37"
"415","5","29","47","67,58","0","5788","2018","5","9","13","38"
"416","2","29","18","61,33","0","5841","2018","5","9","13","38"
"417","5","29","47","67,75","0","5788","2018","5","9","13","39"
"418","2","29","18","61,33","0","5841","2018","5","9","13","39"
"419","5","29","47","67,91","0","5788","2018","5","9","13","40"
"420","2","29","18","61,33","0","5841","2018","5","9","13","40"
"421","5","29","47","67,75","0","5788","2018","5","9","13","41"
"422","2","29","18","61,33","0","5841","2018","5","9","13","41"
"423","5","29","47","67,75","0","5788","2018","5","9","13","42"
"424","2","29","18","61,16","0","5841","2018","5","9","13","42"
"425","5","29","48","67,75","0","5788","2018","5","9","13","43"
"426","2","29","18","61,33","0","5835","2018","5","9","13","43"
"427","5","29","48","67,91","0","5788","2018","5","9","13","44"
"428","2","29","18","61,16","0","5835","2018","5","9","13","44"
"429","5","29","48","67,91","0","5788","2018","5","9","13","45"
"430","2","29","18","61,16","0","5835","2018","5","9","13","45"
"431","5","29","49","68,23","0","5788","2018","5","9","13","46"
"432","2","29","18","61,16","0","5835","2018","5","9","13","46"
"433","5","29","50","68,39","0","5782","2018","5","9","13","47"
"434","2","29","18","61,16","0","5835","2018","5","9","13","47"
"435","5","29","50","68,55","0","5782","2018","5","9","13","48"
"436","2","29","18","61,16","0","5835","2018","5","9","13","48"
"437","5","28","51","68,55","0","5782","2018","5","9","13","49"
"438","2","29","18","61,16","0","5829","2018","5","9","13","49"
"439","5","28","51","68,55","0","5777","2018","5","9","13","50"
"440","2","29","18","61","0","5829","2018","5","9","13","50"
"441","5","28","52","68,23","0","5777","2018","5","9","13","51"
"442","2","29","18","61","0","5829","2018","5","9","13","51"
"443","5","28","52","68,07","0","5777","2018","5","9","13","52"
"444","2","28","19","61","0","5829","2018","5","9","13","52"
"445","5","28","52","68,23","0","5777","2018","5","9","13","53"
"446","2","28","19","61","0","5829","2018","5","9","13","53"
"447","5","28","52","68,23","0","5771","2018","5","9","13","54"
"448","2","28","19","61","0","5829","2018","5","9","13","54"
"449","5","28","52","68,23","0","5771","2018","5","9","13","55"
"450","2","28","19","61,16","0","5835","2018","5","9","13","55"
