TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA,TIME
26,92,70.15,0,5788,15,2018-05-09 15:56:00
26,92,70.15,0,5794,15,2018-05-09 15:57:00
26,92,69.83,0,5806,15,2018-05-09 15:58:00
26,92,69.83,0,5806,15,2018-05-09 15:59:00
26,92,69.99,0,5777,16,2018-05-09 16:00:00
26,92,69.99,0,5765,16,2018-05-09 16:01:00
26,92,69.83,0,5771,16,2018-05-09 16:02:00
26,92,69.99,0,5782,16,2018-05-09 16:03:00
26,92,69.83,0,5777,16,2018-05-09 16:04:00
26,92,69.83,0,5759,16,2018-05-09 16:05:00
26,92,69.83,0,5759,16,2018-05-09 16:06:00
26,92,69.99,0,5747,16,2018-05-09 16:07:00
26,92,69.83,0,5741,16,2018-05-09 16:08:00
26,92,69.83,0,5741,16,2018-05-09 16:09:00
26,92,69.83,0,5741,16,2018-05-09 16:10:00
26,92,69.83,0,5741,16,2018-05-09 16:11:00
26,92,69.83,0,5736,16,2018-05-09 16:12:00
26,92,69.99,0,5741,16,2018-05-09 16:13:00
26,92,70.15,0,5736,16,2018-05-09 16:14:00
26,92,69.83,0,5736,16,2018-05-09 16:15:00
26,92,69.83,0,5730,16,2018-05-09 16:16:00
26,92,69.67,0,5730,16,2018-05-09 16:17:00
26,92,69.67,0,5718,16,2018-05-09 16:18:00
25,92,69.99,0,5706,16,2018-05-09 16:19:00
25,92,69.83,0,5695,16,2018-05-09 16:20:00
25,92,69.67,0,5689,16,2018-05-09 16:21:00
25,92,69.83,0,5683,16,2018-05-09 16:22:00
25,92,69.51,0,5677,16,2018-05-09 16:23:00
25,92,69.51,0,5671,16,2018-05-09 16:24:00
25,92,69.51,0,5659,16,2018-05-09 16:25:00
25,92,69.67,0,5636,16,2018-05-09 16:26:00
25,92,69.51,0,5607,16,2018-05-09 16:27:00
25,92,69.51,0,5554,16,2018-05-09 16:28:00
25,92,69.51,0,5466,16,2018-05-09 16:29:00
25,92,69.51,0,5448,16,2018-05-09 16:30:00
25,92,69.51,0,5448,16,2018-05-09 16:31:00
25,92,69.35,0,5495,16,2018-05-09 16:32:00
25,92,69.51,0,5454,16,2018-05-09 16:33:00
25,92,69.35,0,5178,16,2018-05-09 16:34:00
25,92,69.51,0,4973,16,2018-05-09 16:35:00
25,92,69.83,0,4844,16,2018-05-09 16:36:00
25,92,69.67,0,4821,16,2018-05-09 16:37:00
25,92,69.83,0,4903,16,2018-05-09 16:38:00
25,92,69.67,0,5055,16,2018-05-09 16:39:00
25,92,69.99,0,5114,16,2018-05-09 16:40:00
25,92,69.67,0,5219,16,2018-05-09 16:41:00
25,92,69.51,0,5313,16,2018-05-09 16:42:00
25,92,69.51,0,5366,16,2018-05-09 16:43:00
25,92,69.67,0,5384,16,2018-05-09 16:44:00
25,92,69.51,0,5378,16,2018-05-09 16:45:00
25,92,69.51,0,5395,16,2018-05-09 16:46:00
25,92,69.19,0,5431,16,2018-05-09 16:47:00
25,92,69.35,0,5307,16,2018-05-09 16:48:00
25,92,69.19,0,5096,16,2018-05-09 16:49:00
25,92,69.99,0,4926,16,2018-05-09 16:50:00
25,92,69.35,0,4856,16,2018-05-09 16:51:00
25,92,69.35,0,4756,16,2018-05-09 16:52:00
25,92,69.03,0,4697,16,2018-05-09 16:53:00
25,92,69.03,0,4621,16,2018-05-09 16:54:00
25,92,69.03,0,4615,16,2018-05-09 16:55:00
25,92,68.87,0,4692,16,2018-05-09 16:56:00
25,92,68.87,0,4762,16,2018-05-09 16:57:00
25,92,68.87,0,4651,16,2018-05-09 16:58:00
25,92,68.87,0,4604,16,2018-05-09 16:59:00
25,92,69.19,0,4469,17,2018-05-09 17:00:00
25,92,68.87,0,4140,17,2018-05-09 17:01:00
25,92,68.87,0,3876,17,2018-05-09 17:02:00
25,92,68.87,0,3853,17,2018-05-09 17:03:00
25,92,68.87,0,3859,17,2018-05-09 17:04:00
25,92,68.87,0,3923,17,2018-05-09 17:05:00
25,92,68.71,0,3935,17,2018-05-09 17:06:00
25,92,68.87,0,3917,17,2018-05-09 17:07:00
25,92,68.71,0,3806,17,2018-05-09 17:08:00
25,92,69.19,0,3618,17,2018-05-09 17:09:00
25,92,68.87,0,3448,17,2018-05-09 17:10:00
25,92,68.87,0,3366,17,2018-05-09 17:11:00
25,92,68.71,0,3366,17,2018-05-09 17:12:00
24,93,68.71,0,3454,17,2018-05-09 17:13:00
