"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","TIME"
"295","5","32","46","66.46","0","5870","2018-05-09 12:38:00"
"296","2","32","17","61.49","0","5900","2018-05-09 12:38:00"
"297","5","32","45","66.3","0","5870","2018-05-09 12:39:00"
"298","2","32","17","61.49","1","5894","2018-05-09 12:39:00"
"299","5","32","46","66.62","0","5865","2018-05-09 12:40:00"
"300","2","32","17","61.49","0","5876","2018-05-09 12:40:00"
"301","5","32","46","66.46","0","5853","2018-05-09 12:41:00"
"302","2","32","17","61.49","0","5888","2018-05-09 12:41:00"
"303","5","32","45","66.3","0","5859","2018-05-09 12:42:00"
"304","2","31","17","61.49","0","5882","2018-05-09 12:42:00"
"305","5","32","44","66.46","0","5870","2018-05-09 12:43:00"
"306","2","32","17","61.49","0","5894","2018-05-09 12:43:00"
"307","5","32","44","66.3","0","5853","2018-05-09 12:44:00"
"308","2","31","17","61.49","0","5882","2018-05-09 12:44:00"
"309","5","32","44","66.78","0","5870","2018-05-09 12:45:00"
"310","2","31","17","61.65","1","5894","2018-05-09 12:45:00"
"311","5","32","44","66.62","0","5859","2018-05-09 12:46:00"
"312","2","31","17","61.65","1","5888","2018-05-09 12:46:00"
"313","5","32","44","66.46","0","5870","2018-05-09 12:47:00"
"314","2","32","17","61.49","1","5894","2018-05-09 12:47:00"
"315","5","32","44","66.3","0","5870","2018-05-09 12:48:00"
"316","2","32","17","61.65","1","5894","2018-05-09 12:48:00"
"317","5","32","44","66.62","0","5870","2018-05-09 12:49:00"
"318","2","32","17","61.65","1","5894","2018-05-09 12:49:00"
"319","5","32","44","66.62","0","5870","2018-05-09 12:50:00"
"320","2","32","17","61.65","1","5894","2018-05-09 12:50:00"
"321","5","32","44","66.62","0","5870","2018-05-09 12:51:00"
"322","2","32","17","61.65","0","5894","2018-05-09 12:51:00"
"323","5","32","44","66.62","0","5870","2018-05-09 12:52:00"
"324","2","32","17","61.65","1","5900","2018-05-09 12:52:00"
"325","5","32","44","66.78","0","5870","2018-05-09 12:53:00"
"326","2","32","17","61.65","1","5894","2018-05-09 12:53:00"
"327","5","32","44","67.1","0","5847","2018-05-09 12:54:00"
"328","2","32","17","61.81","1","5876","2018-05-09 12:54:00"
"329","5","32","44","66.62","0","5841","2018-05-09 12:55:00"
"330","2","32","17","61.81","0","5876","2018-05-09 12:55:00"
"331","5","32","44","66.62","0","5870","2018-05-09 12:56:00"
"332","2","32","17","61.65","1","5900","2018-05-09 12:56:00"
"333","5","32","44","66.46","0","5876","2018-05-09 12:57:00"
"334","2","32","17","61.65","0","5900","2018-05-09 12:57:00"
"335","5","32","44","66.62","0","5870","2018-05-09 12:58:00"
"336","2","32","17","61.65","1","5900","2018-05-09 12:58:00"
"337","5","32","44","66.62","0","5835","2018-05-09 12:59:00"
"338","2","33","16","61.65","1","5870","2018-05-09 12:59:00"
"339","5","32","44","66.78","0","5829","2018-05-09 13:00:00"
"340","2","33","16","61.81","0","5870","2018-05-09 13:00:00"
"341","5","32","44","66.62","0","5841","2018-05-09 13:01:00"
"342","2","32","17","61.81","0","5876","2018-05-09 13:01:00"
"343","5","31","44","66.62","0","5835","2018-05-09 13:02:00"
"344","2","32","17","61.81","1","5876","2018-05-09 13:02:00"
"345","5","31","44","66.46","0","5812","2018-05-09 13:03:00"
"346","2","32","17","61.81","0","5865","2018-05-09 13:03:00"
"347","5","31","44","66.78","0","5806","2018-05-09 13:04:00"
"348","2","31","17","61.81","0","5865","2018-05-09 13:04:00"
"349","5","30","45","66.62","0","5806","2018-05-09 13:05:00"
"350","2","30","18","61.81","0","5865","2018-05-09 13:05:00"
"351","5","30","45","66.94","0","5818","2018-05-09 13:06:00"
"352","2","30","18","61.81","0","5870","2018-05-09 13:06:00"
"353","5","30","45","66.78","0","5829","2018-05-09 13:07:00"
"354","2","31","17","61.65","1","5876","2018-05-09 13:07:00"
"355","5","30","45","67.1","0","5870","2018-05-09 13:08:00"
"356","2","32","17","61.65","1","5900","2018-05-09 13:08:00"
"357","5","30","45","66.94","0","5865","2018-05-09 13:09:00"
"358","2","33","16","61.65","1","5900","2018-05-09 13:09:00"
"359","5","31","44","66.78","0","5870","2018-05-09 13:10:00"
"360","2","34","16","61.65","1","5900","2018-05-09 13:10:00"
"361","5","31","44","67.1","1","5829","2018-05-09 13:11:00"
"362","2","34","16","61.65","1","5876","2018-05-09 13:11:00"
"363","5","31","44","67.42","0","5829","2018-05-09 13:12:00"
"364","2","34","16","61.65","1","5876","2018-05-09 13:12:00"
"365","5","31","44","67.1","0","5800","2018-05-09 13:13:00"
"366","2","33","16","61.49","1","5859","2018-05-09 13:13:00"
"367","5","31","44","67.1","0","5794","2018-05-09 13:14:00"
"368","2","32","17","61.65","0","5853","2018-05-09 13:14:00"
"369","5","30","45","67.26","0","5794","2018-05-09 13:15:00"
"370","2","30","18","61.65","0","5859","2018-05-09 13:15:00"
"371","5","30","45","67.1","0","5818","2018-05-09 13:16:00"
"372","2","30","18","61.49","0","5882","2018-05-09 13:16:00"
"373","5","30","45","67.1","0","5794","2018-05-09 13:17:00"
"374","2","30","18","61.49","0","5859","2018-05-09 13:17:00"
"375","5","30","45","66.94","0","5800","2018-05-09 13:18:00"
"376","2","30","18","61.49","0","5859","2018-05-09 13:18:00"
"377","5","30","45","67.42","0","5806","2018-05-09 13:19:00"
"378","2","30","18","61.49","0","5870","2018-05-09 13:19:00"
"379","5","30","46","67.1","0","5847","2018-05-09 13:20:00"
"380","2","30","18","61.49","0","5900","2018-05-09 13:20:00"
"381","5","30","46","67.1","0","5853","2018-05-09 13:21:00"
"382","2","32","17","61.33","0","5906","2018-05-09 13:21:00"
"383","5","30","46","67.42","0","5859","2018-05-09 13:22:00"
"384","2","32","17","61.33","1","5906","2018-05-09 13:22:00"
"385","5","30","46","67.42","0","5829","2018-05-09 13:23:00"
"386","2","32","17","61.33","1","5888","2018-05-09 13:23:00"
"387","5","30","45","67.26","0","5835","2018-05-09 13:24:00"
"388","2","32","17","61.33","1","5900","2018-05-09 13:24:00"
"389","5","30","45","67.58","0","5853","2018-05-09 13:25:00"
"390","2","33","16","61.33","0","5894","2018-05-09 13:25:00"
"391","5","31","45","67.58","0","5818","2018-05-09 13:26:00"
"392","2","33","16","61.33","1","5870","2018-05-09 13:26:00"
"393","5","31","45","67.58","0","5812","2018-05-09 13:27:00"
"394","2","32","17","61.33","0","5865","2018-05-09 13:27:00"
"395","5","30","46","67.42","0","5800","2018-05-09 13:28:00"
"396","2","31","17","61.49","0","5853","2018-05-09 13:28:00"
"397","5","30","46","67.58","0","5794","2018-05-09 13:29:00"
"398","2","31","17","63.09","0","5847","2018-05-09 13:29:00"
"399","5","30","46","67.1","0","5794","2018-05-09 13:30:00"
"400","2","30","18","61.65","0","5847","2018-05-09 13:30:00"
"401","5","30","47","67.1","0","5788","2018-05-09 13:31:00"
"402","2","30","18","61.49","0","5847","2018-05-09 13:31:00"
"403","5","30","47","67.42","0","5794","2018-05-09 13:32:00"
"404","2","30","18","61.49","0","5847","2018-05-09 13:32:00"
"405","5","30","47","67.58","0","5788","2018-05-09 13:33:00"
"406","2","30","18","61.33","0","5847","2018-05-09 13:33:00"
"407","5","30","47","67.42","0","5788","2018-05-09 13:34:00"
"408","2","30","18","61.33","0","5847","2018-05-09 13:34:00"
"409","5","29","47","67.58","0","5788","2018-05-09 13:35:00"
"410","2","29","18","61.33","0","5847","2018-05-09 13:35:00"
"411","5","29","47","67.42","0","5788","2018-05-09 13:36:00"
"412","2","29","18","61.49","0","5847","2018-05-09 13:36:00"
"413","5","29","47","67.75","0","5788","2018-05-09 13:37:00"
"414","2","29","18","61.33","0","5847","2018-05-09 13:37:00"
"415","5","29","47","67.58","0","5788","2018-05-09 13:38:00"
"416","2","29","18","61.33","0","5841","2018-05-09 13:38:00"
"417","5","29","47","67.75","0","5788","2018-05-09 13:39:00"
"418","2","29","18","61.33","0","5841","2018-05-09 13:39:00"
"419","5","29","47","67.91","0","5788","2018-05-09 13:40:00"
"420","2","29","18","61.33","0","5841","2018-05-09 13:40:00"
"421","5","29","47","67.75","0","5788","2018-05-09 13:41:00"
"422","2","29","18","61.33","0","5841","2018-05-09 13:41:00"
"423","5","29","47","67.75","0","5788","2018-05-09 13:42:00"
"424","2","29","18","61.16","0","5841","2018-05-09 13:42:00"
